query,geneid,isoformnum,ref,%id,alignlen,mismatch,gapopens,qstart,qend,refstart,refend,evalue,seqlen
c20367_g2_i3,c20367_g2_i3,c20367_g2,3,navi_HOG3279,82.41,324,55,2,584,906,52,374,1e-75,281
c20374_g1_i2,c20374_g1_i2,c20374_g1,2,navi_HOG5258,81.89,889,149,10,1670,2552,1101,1983,0.0,739
c20374_g1_i2,c20374_g1_i2,c20374_g1,2,navi_HOG5258,79.53,1026,166,34,565,1571,101,1101,0.0,691
c20374_g1_i3,c20374_g1_i3,c20374_g1,3,navi_HOG5258,80.65,1344,221,29,281,1609,664,1983,0.0,1005
c20374_g1_i4,c20374_g1_i4,c20374_g1,4,navi_HOG5258,80.62,1914,315,44,565,2453,101,1983,0.0,1428
c20374_g1_i5,c20374_g1_i5,c20374_g1,5,navi_HOG5258,80.66,1887,312,41,398,2262,128,1983,0.0,1413
c20374_g1_i6,c20374_g1_i6,c20374_g1,6,navi_HOG5258,80.62,1914,315,44,445,2333,101,1983,0.0,1428
c20379_g1_i1,c20379_g1_i1,c20379_g1,1,navi_HOG6328,85.69,510,68,3,2438,2943,4015,4523,1e-150,532
c20385_g1_i1,c20385_g1_i1,c20385_g1,1,navi_HOG7014,80.52,2366,452,9,271,2632,1,2361,0.0,1807
c20387_g1_i1,c20387_g1_i1,c20387_g1,1,navi_HOG5002,82.84,3146,512,14,401,3538,3306,181,0.0,2793
c20387_g1_i2,c20387_g1_i2,c20387_g1,2,navi_HOG5002,82.84,3146,512,14,401,3538,3306,181,0.0,2793
c20388_g1_i1,c20388_g1_i1,c20388_g1,1,navi_HOG4429,86.38,1329,175,2,569,1897,1,1323,0.0,1447
c20389_g1_i1,c20389_g1_i1,c20389_g1,1,navi_HOG4088,79.00,781,152,9,240,1014,74,848,6e-148,523
c20389_g1_i2,c20389_g1_i2,c20389_g1,2,navi_HOG4088,79.00,781,152,9,312,1086,74,848,6e-148,523
c20389_g1_i3,c20389_g1_i3,c20389_g1,3,navi_HOG4088,79.00,781,152,9,329,1103,74,848,6e-148,523
c20389_g1_i4,c20389_g1_i4,c20389_g1,4,navi_HOG4088,79.00,781,152,9,240,1014,74,848,6e-148,523
c20412_g1_i1,c20412_g1_i1,c20412_g1,1,navi_HOG3963,87.55,257,32,0,34,290,1090,834,5e-81,298
c20412_g2_i1,c20412_g2_i1,c20412_g2,1,navi_HOG3963,88.12,421,50,0,214,634,33,453,6e-142,501
c20412_g2_i3,c20412_g2_i3,c20412_g2,3,navi_HOG3963,88.12,421,50,0,596,1016,33,453,9e-142,501
c20419_g1_i1,c20419_g1_i1,c20419_g1,1,navi_HOG3180,86.15,823,114,0,4182,5004,874,52,0.0,889
c20419_g1_i2,c20419_g1_i2,c20419_g1,2,navi_HOG3180,79.66,3309,640,25,1146,4442,3339,52,0.0,2351
c20419_g1_i3,c20419_g1_i3,c20419_g1,3,navi_HOG3180,86.13,822,114,0,3687,4508,873,52,0.0,887
c20421_g1_i2,c20421_g1_i2,c20421_g1,2,navi_HOG7048,79.43,598,118,5,452,1047,100,694,1e-116,418
c20421_g1_i3,c20421_g1_i3,c20421_g1,3,navi_HOG7048,87.50,104,13,0,202,305,477,580,2e-27,121
c20422_g1_i1,c20422_g1_i1,c20422_g1,1,navi_HOG3404,82.35,1388,241,4,25,1410,1452,67,0.0,1203
c20422_g1_i2,c20422_g1_i2,c20422_g1,2,navi_HOG3404,82.37,1395,242,4,869,2261,1459,67,0.0,1210
c20422_g1_i3,c20422_g1_i3,c20422_g1,3,navi_HOG3404,82.37,1395,242,4,869,2261,1459,67,0.0,1210
c20422_g1_i4,c20422_g1_i4,c20422_g1,4,navi_HOG3404,82.37,1395,242,4,869,2261,1459,67,0.0,1210
c20436_g1_i1,c20436_g1_i1,c20436_g1,1,navi_HOG6618,84.67,750,110,5,1330,2077,780,34,0.0,743
c20436_g1_i2,c20436_g1_i2,c20436_g1,2,navi_HOG6618,84.67,750,110,5,518,1265,780,34,0.0,743
c20436_g1_i7,c20436_g1_i7,c20436_g1,7,navi_HOG6618,84.67,750,110,5,211,958,780,34,0.0,743
c20436_g1_i13,c20436_g1_i13,c20436_g1,13,navi_HOG6618,84.67,750,110,5,518,1265,780,34,0.0,743
c20436_g1_i17,c20436_g1_i17,c20436_g1,17,navi_HOG6618,84.67,750,110,5,1418,2165,780,34,0.0,743
c20461_g1_i3,c20461_g1_i3,c20461_g1,3,navi_HOG6970,79.11,560,96,13,455,1011,1235,694,4e-101,366
c20466_g2_i1,c20466_g2_i1,c20466_g2,1,navi_HOG4879,81.56,976,168,11,534,1503,987,18,0.0,795
c20468_g2_i1,c20468_g2_i1,c20468_g2,1,navi_HOG4321,79.85,134,24,2,1608,1738,638,771,3e-19,95.3
c20468_g2_i2,c20468_g2_i2,c20468_g2,2,navi_HOG4321,76.95,243,50,3,1057,1296,532,771,5e-31,134
c20468_g2_i3,c20468_g2_i3,c20468_g2,3,navi_HOG4321,79.85,134,24,2,1179,1309,638,771,2e-19,95.3
c20477_g1_i1,c20477_g1_i1,c20477_g1,1,navi_HOG4746,86.80,250,33,0,1610,1859,1128,1377,1e-74,279
c20488_g1_i1,c20488_g1_i1,c20488_g1,1,navi_HOG3064,84.22,830,117,4,780,1596,1200,372,0.0,795
c20488_g1_i1,c20488_g1_i1,c20488_g1,1,navi_HOG3064,83.91,348,52,2,1590,1937,344,1,1e-89,329
c20488_g1_i2,c20488_g1_i2,c20488_g1,2,navi_HOG3064,84.22,830,117,4,873,1689,1200,372,0.0,795
c20488_g1_i2,c20488_g1_i2,c20488_g1,2,navi_HOG3064,83.91,348,52,2,1683,2030,344,1,1e-89,329
c20489_g1_i1,c20489_g1_i1,c20489_g1,1,navi_HOG2978,84.80,204,29,2,847,1049,2132,2334,3e-52,204
c20489_g1_i2,c20489_g1_i2,c20489_g1,2,navi_HOG2978,82.03,974,162,8,1428,2393,1366,2334,0.0,817
c20489_g1_i2,c20489_g1_i2,c20489_g1,2,navi_HOG2978,77.03,553,84,21,363,877,1,548,4e-74,278
c20489_g1_i3,c20489_g1_i3,c20489_g1,3,navi_HOG2978,82.18,971,163,7,1176,2138,1366,2334,0.0,826
c20489_g1_i4,c20489_g1_i4,c20489_g1,4,navi_HOG2978,82.18,971,163,7,902,1864,1366,2334,0.0,826
c20490_g1_i1,c20490_g1_i1,c20490_g1,1,navi_HOG4258,81.63,1497,258,14,181,1667,379,1868,0.0,1225
c20490_g1_i2,c20490_g1_i2,c20490_g1,2,navi_HOG4258,81.47,1085,187,13,140,1217,791,1868,0.0,878
c20501_g1_i1,c20501_g1_i1,c20501_g1,1,navi_HOG6107,77.45,603,118,17,1878,2469,1037,1632,9e-94,344
c20501_g1_i3,c20501_g1_i3,c20501_g1,3,navi_HOG6107,77.45,603,118,17,1797,2388,1037,1632,9e-94,344
c20505_g2_i1,c20505_g2_i1,c20505_g2,1,navi_HOG5153,83.37,1425,237,0,1217,2641,931,2355,0.0,1319
c20505_g2_i1,c20505_g2_i1,c20505_g2,1,navi_HOG5153,89.40,368,39,0,629,996,433,800,3e-130,464
c20505_g2_i2,c20505_g2_i2,c20505_g2,2,navi_HOG5153,83.37,1425,237,0,2057,3481,931,2355,0.0,1319
c20505_g2_i2,c20505_g2_i2,c20505_g2,2,navi_HOG5153,89.40,368,39,0,1469,1836,433,800,3e-130,464
c20505_g2_i3,c20505_g2_i3,c20505_g2,3,navi_HOG5153,83.37,1425,237,0,2057,3481,931,2355,0.0,1319
c20505_g2_i3,c20505_g2_i3,c20505_g2,3,navi_HOG5153,89.40,368,39,0,1469,1836,433,800,4e-130,464
c20515_g1_i1,c20515_g1_i1,c20515_g1,1,navi_HOG6328,81.41,581,77,12,947,1522,555,1,8e-125,446
c20515_g1_i3,c20515_g1_i3,c20515_g1,3,navi_HOG6328,81.41,581,77,12,947,1522,555,1,8e-125,446
c20515_g1_i4,c20515_g1_i4,c20515_g1,4,navi_HOG6328,81.41,581,77,12,947,1522,555,1,6e-125,446
c20520_g1_i1,c20520_g1_i1,c20520_g1,1,navi_HOG4172,78.44,1461,285,19,302,1738,1,1455,0.0,926
c20520_g1_i2,c20520_g1_i2,c20520_g1,2,navi_HOG4172,81.02,685,122,7,302,982,1,681,6e-153,538
c20524_g1_i1,c20524_g1_i1,c20524_g1,1,navi_HOG3320,84.79,2400,345,17,204,2595,2388,1,0.0,2392
c20524_g1_i2,c20524_g1_i2,c20524_g1,2,navi_HOG3320,84.83,2399,345,16,204,2594,2388,1,0.0,2396
c20525_g4_i3,c20525_g4_i3,c20525_g4,3,navi_HOG4772,83.42,1496,233,3,350,1830,1496,1,0.0,1375
c20525_g4_i5,c20525_g4_i5,c20525_g4,5,navi_HOG4772,84.36,1496,234,0,350,1845,1496,1,0.0,1467
c20525_g4_i6,c20525_g4_i6,c20525_g4,6,navi_HOG6086,84.08,2029,306,15,523,2539,2052,29,0.0,1941
c20525_g4_i7,c20525_g4_i7,c20525_g4,7,navi_HOG4772,84.36,1496,234,0,350,1845,1496,1,0.0,1467
c20525_g4_i8,c20525_g4_i8,c20525_g4,8,navi_HOG4772,84.36,1496,234,0,350,1845,1496,1,0.0,1467
c20529_g1_i2,c20529_g1_i2,c20529_g1,2,navi_HOG4061,79.81,515,95,6,277,787,1220,711,4e-101,366
c20529_g1_i3,c20529_g1_i3,c20529_g1,3,navi_HOG4061,79.81,515,95,6,277,787,1220,711,4e-101,366
c20529_g1_i4,c20529_g1_i4,c20529_g1,4,navi_HOG4061,83.11,302,50,1,260,561,1011,711,2e-73,274
c20531_g2_i1,c20531_g2_i1,c20531_g2,1,navi_HOG5191,80.73,1090,203,6,549,1633,1,1088,0.0,843
c20531_g2_i2,c20531_g2_i2,c20531_g2,2,navi_HOG5191,81.03,917,170,4,882,1796,174,1088,0.0,726
c20531_g2_i4,c20531_g2_i4,c20531_g2,4,navi_HOG5191,81.03,917,170,4,750,1664,174,1088,0.0,726
c20560_g1_i1,c20560_g1_i1,c20560_g1,1,navi_HOG6084,81.20,1867,334,12,107,1963,1860,1,0.0,1487
c20560_g1_i2,c20560_g1_i2,c20560_g1,2,navi_HOG6084,81.20,1867,334,12,107,1963,1860,1,0.0,1487
c20560_g1_i3,c20560_g1_i3,c20560_g1,3,navi_HOG6084,81.20,1867,334,12,107,1963,1860,1,0.0,1487
c20562_g3_i1,c20562_g3_i1,c20562_g3,1,navi_HOG4809,83.02,1625,276,0,1002,2626,1625,1,0.0,1472
c20562_g3_i1,c20562_g3_i1,c20562_g3,1,navi_HOG4809,85.15,505,75,0,123,627,2519,2015,2e-146,518
c20562_g3_i2,c20562_g3_i2,c20562_g3,2,navi_HOG4809,85.19,270,40,0,535,804,2369,2100,1e-74,278
c20562_g3_i3,c20562_g3_i3,c20562_g3,3,navi_HOG4809,83.17,2104,353,1,620,2723,2103,1,0.0,1923
c20562_g3_i3,c20562_g3_i3,c20562_g3,3,navi_HOG4809,85.15,505,75,0,123,627,2519,2015,2e-146,518
c20562_g3_i4,c20562_g3_i4,c20562_g3,4,navi_HOG4809,83.17,2104,353,1,620,2723,2103,1,0.0,1923
c20562_g3_i4,c20562_g3_i4,c20562_g3,4,navi_HOG4809,85.15,505,75,0,123,627,2519,2015,2e-146,518
c20572_g1_i1,c20572_g1_i1,c20572_g1,1,navi_HOG4833,76.96,2296,496,27,202,2481,2279,1,0.0,1279
c20581_g1_i1,c20581_g1_i1,c20581_g1,1,navi_HOG3246,80.74,2445,419,30,723,3126,1,2434,0.0,1858
c20581_g1_i2,c20581_g1_i2,c20581_g1,2,navi_HOG3246,80.05,1494,255,23,117,1575,949,2434,0.0,1068
c20586_g1_i4,c20586_g1_i4,c20586_g1,4,navi_HOG3608,76.96,382,86,2,681,1061,1,381,3e-56,217
c20586_g1_i9,c20586_g1_i9,c20586_g1,9,navi_HOG3608,76.50,383,87,3,572,953,1,381,3e-52,206
c20586_g1_i10,c20586_g1_i10,c20586_g1,10,navi_HOG3608,76.65,364,82,3,2453,2815,1,362,3e-50,198
c20588_g1_i1,c20588_g1_i1,c20588_g1,1,navi_HOG4043,88.70,407,43,1,5,411,889,1292,6e-140,494
c20588_g1_i2,c20588_g1_i2,c20588_g1,2,navi_HOG4043,87.71,179,19,1,5,183,889,1064,1e-52,206
c20589_g1_i2,c20589_g1_i2,c20589_g1,2,navi_HOG5428,77.73,1235,254,18,675,1897,133,1358,0.0,737
c20589_g1_i3,c20589_g1_i3,c20589_g1,3,navi_HOG5428,77.73,1235,254,18,655,1877,133,1358,0.0,737
c20591_g1_i1,c20591_g1_i1,c20591_g1,1,navi_HOG6176,84.72,1067,163,0,426,1492,1,1067,0.0,1068
c20591_g1_i2,c20591_g1_i2,c20591_g1,2,navi_HOG6176,84.64,1107,170,0,426,1532,1,1107,0.0,1103
c20595_g1_i1,c20595_g1_i1,c20595_g1,1,navi_HOG7002,85.95,1459,199,4,1138,2593,1597,142,0.0,1554
c20595_g1_i1,c20595_g1_i1,c20595_g1,1,navi_HOG7002,77.55,432,89,6,1,431,2770,2346,8e-67,254
c20595_g1_i2,c20595_g1_i2,c20595_g1,2,navi_HOG7002,85.95,1459,199,4,1352,2807,1597,142,0.0,1554
c20595_g1_i2,c20595_g1_i2,c20595_g1,2,navi_HOG7002,78.22,381,75,6,266,645,2719,2346,8e-62,237
c20595_g1_i3,c20595_g1_i3,c20595_g1,3,navi_HOG7002,86.98,1329,170,2,1225,2550,1470,142,0.0,1493
c20595_g1_i3,c20595_g1_i3,c20595_g1,3,navi_HOG7002,77.55,432,89,6,1,431,2770,2346,8e-67,254
c20608_g1_i1,c20608_g1_i1,c20608_g1,1,navi_HOG6303,83.48,1011,155,10,730,1734,1080,76,0.0,931
c20618_g1_i1,c20618_g1_i1,c20618_g1,1,navi_HOG5332,79.05,3188,630,29,540,3707,1,3170,0.0,2152
c20619_g1_i1,c20619_g1_i1,c20619_g1,1,navi_HOG2974,82.31,1351,232,6,138,1485,31,1377,0.0,1164
c20619_g1_i2,c20619_g1_i2,c20619_g1,2,navi_HOG2974,82.31,1351,232,6,138,1485,31,1377,0.0,1164
c20619_g1_i4,c20619_g1_i4,c20619_g1,4,navi_HOG2974,82.31,1351,232,6,138,1485,31,1377,0.0,1164
c20633_g2_i1,c20633_g2_i1,c20633_g2,1,navi_HOG3586,83.48,1350,217,6,397,1743,1,1347,0.0,1253
c20636_g1_i1,c20636_g1_i1,c20636_g1,1,navi_HOG4573,82.30,1712,293,9,3718,5424,1719,13,0.0,1474
c20640_g1_i1,c20640_g1_i1,c20640_g1,1,navi_HOG3171,79.59,3695,699,40,479,4135,4935,1258,0.0,2595
c20640_g1_i2,c20640_g1_i2,c20640_g1,2,navi_HOG3171,79.59,3695,699,40,479,4135,4935,1258,0.0,2595
c20640_g1_i3,c20640_g1_i3,c20640_g1,3,navi_HOG3171,79.39,2741,530,27,821,3536,3988,1258,0.0,1899
c20640_g1_i4,c20640_g1_i4,c20640_g1,4,navi_HOG3171,79.59,3695,699,40,479,4135,4935,1258,0.0,2595
c20649_g2_i1,c20649_g2_i1,c20649_g2,1,navi_HOG3712,82.25,783,139,0,2935,3717,783,1,0.0,676
c20649_g2_i2,c20649_g2_i2,c20649_g2,2,navi_HOG3712,82.25,783,139,0,3184,3966,783,1,0.0,676
c20649_g2_i3,c20649_g2_i3,c20649_g2,3,navi_HOG3712,82.25,783,139,0,3098,3880,783,1,0.0,676
c20649_g2_i4,c20649_g2_i4,c20649_g2,4,navi_HOG3712,82.25,783,139,0,2827,3609,783,1,0.0,676
c20649_g2_i5,c20649_g2_i5,c20649_g2,5,navi_HOG3712,82.25,783,139,0,1855,2637,783,1,0.0,676
c20653_g5_i1,c20653_g5_i1,c20653_g5,1,navi_HOG6202,80.90,2440,439,23,401,2828,2445,21,0.0,1899
c20653_g5_i2,c20653_g5_i2,c20653_g5,2,navi_HOG6202,80.90,2440,439,23,401,2828,2445,21,0.0,1899
c20653_g5_i3,c20653_g5_i3,c20653_g5,3,navi_HOG6202,79.32,735,137,13,700,1428,746,21,2e-141,501
c20658_g1_i1,c20658_g1_i1,c20658_g1,1,navi_HOG5054,83.11,1522,245,11,332,1849,2125,3638,0.0,1376
c20658_g1_i2,c20658_g1_i2,c20658_g1,2,navi_HOG5054,85.05,1278,188,3,3199,4475,2363,3638,0.0,1299
c20658_g1_i3,c20658_g1_i3,c20658_g1,3,navi_HOG5054,83.11,1522,245,11,332,1849,2125,3638,0.0,1376
c20660_g1_i2,c20660_g1_i2,c20660_g1,2,navi_HOG6506,85.64,1922,276,0,687,2608,1922,1,0.0,2021
c20660_g1_i4,c20660_g1_i4,c20660_g1,4,navi_HOG6506,85.71,1848,264,0,334,2181,1848,1,0.0,1951
c20663_g1_i1,c20663_g1_i1,c20663_g1,1,navi_HOG5978,86.03,451,63,0,1538,1988,1305,1755,3e-136,484
c20663_g1_i1,c20663_g1_i1,c20663_g1,1,navi_HOG5398,81.17,478,90,0,2574,3051,478,1,3e-106,385
c20663_g1_i2,c20663_g1_i2,c20663_g1,2,navi_HOG5978,86.03,451,63,0,1538,1988,1305,1755,3e-136,484
c20663_g1_i2,c20663_g1_i2,c20663_g1,2,navi_HOG5398,81.17,478,90,0,2574,3051,478,1,3e-106,385
c20663_g1_i3,c20663_g1_i3,c20663_g1,3,navi_HOG5978,86.03,451,63,0,1543,1993,1305,1755,3e-136,484
c20663_g1_i3,c20663_g1_i3,c20663_g1,3,navi_HOG5398,81.17,478,90,0,2579,3056,478,1,3e-106,385
c20664_g1_i1,c20664_g1_i1,c20664_g1,1,navi_HOG4322,78.52,582,95,10,416,968,581,1,6e-98,355
c20664_g1_i2,c20664_g1_i2,c20664_g1,2,navi_HOG4322,93.23,133,9,0,91,223,133,1,1e-50,196
c20664_g1_i3,c20664_g1_i3,c20664_g1,3,navi_HOG4322,82.99,582,97,2,416,996,581,1,5e-149,525
c20665_g1_i2,c20665_g1_i2,c20665_g1,2,navi_HOG5395,85.81,606,86,0,2150,2755,831,226,0.0,643
c20665_g1_i3,c20665_g1_i3,c20665_g1,3,navi_HOG5395,85.81,606,86,0,3216,3821,831,226,0.0,643
c20665_g1_i4,c20665_g1_i4,c20665_g1,4,navi_HOG5395,85.81,606,86,0,3311,3916,831,226,0.0,643
c20668_g1_i1,c20668_g1_i1,c20668_g1,1,navi_HOG5371,81.50,2032,353,12,3669,5699,2510,501,0.0,1648
c20668_g1_i1,c20668_g1_i1,c20668_g1,1,navi_HOG5371,81.38,1176,192,9,2261,3412,3999,2827,0.0,933
c20668_g1_i3,c20668_g1_i3,c20668_g1,3,navi_HOG5371,81.50,2032,353,12,3723,5753,2510,501,0.0,1648
c20668_g1_i3,c20668_g1_i3,c20668_g1,3,navi_HOG5371,81.38,1176,192,9,2315,3466,3999,2827,0.0,933
c20673_g1_i2,c20673_g1_i2,c20673_g1,2,navi_HOG5435,77.09,2012,445,16,371,2374,208,2211,0.0,1147
c20676_g1_i1,c20676_g1_i1,c20676_g1,1,navi_HOG6420,86.62,142,17,2,31,171,223,363,1e-37,156
c20676_g1_i5,c20676_g1_i5,c20676_g1,5,navi_HOG6420,79.94,349,64,6,941,1286,46,391,1e-66,252
c20676_g1_i6,c20676_g1_i6,c20676_g1,6,navi_HOG6420,75.54,560,114,20,941,1487,46,595,4e-67,254
c20682_g1_i1,c20682_g1_i1,c20682_g1,1,navi_HOG5437,77.49,4319,917,44,221,4515,1,4288,0.0,2540
c20692_g1_i1,c20692_g1_i1,c20692_g1,1,navi_HOG3104,79.06,1003,193,15,729,1721,73,1068,0.0,673
c20692_g1_i3,c20692_g1_i3,c20692_g1,3,navi_HOG3104,79.20,798,153,11,729,1518,73,865,8e-154,542
c20696_g1_i1,c20696_g1_i1,c20696_g1,1,navi_HOG5123,81.56,1491,268,6,375,1860,1489,1,0.0,1223
c20696_g1_i1,c20696_g1_i1,c20696_g1,1,navi_HOG3831,83.74,689,112,0,2294,2982,1,689,0.0,652
c20696_g1_i2,c20696_g1_i2,c20696_g1,2,navi_HOG5123,81.56,1491,268,6,375,1860,1489,1,0.0,1223
c20696_g1_i2,c20696_g1_i2,c20696_g1,2,navi_HOG3831,83.74,689,112,0,2560,3248,1,689,0.0,652
c20697_g1_i2,c20697_g1_i2,c20697_g1,2,navi_HOG6034,84.33,2527,389,5,493,3014,3509,985,0.0,2466
c20697_g1_i3,c20697_g1_i3,c20697_g1,3,navi_HOG6034,84.24,2608,402,7,493,3094,3509,905,0.0,2531
c20697_g1_i4,c20697_g1_i4,c20697_g1,4,navi_HOG6034,84.21,2609,402,8,493,3095,3509,905,0.0,2527
c20697_g1_i5,c20697_g1_i5,c20697_g1,5,navi_HOG6034,84.24,2608,402,7,493,3094,3509,905,0.0,2531
c20697_g1_i6,c20697_g1_i6,c20697_g1,6,navi_HOG6034,84.24,2608,402,7,118,2719,3509,905,0.0,2531
c20720_g1_i1,c20720_g1_i1,c20720_g1,1,navi_HOG6495,82.29,813,142,2,3520,4331,822,11,0.0,702
c20720_g1_i1,c20720_g1_i1,c20720_g1,1,navi_HOG6494,82.92,527,86,4,510,1034,25,549,3e-132,472
c20720_g1_i2,c20720_g1_i2,c20720_g1,2,navi_HOG6495,84.80,171,26,0,329,499,181,11,5e-43,172
c20720_g1_i2,c20720_g1_i2,c20720_g1,2,navi_HOG6495,88.98,127,14,0,6,132,314,188,1e-38,158
c20737_g1_i1,c20737_g1_i1,c20737_g1,1,navi_HOG5770,80.10,598,113,5,610,1204,1342,748,4e-123,440
c20737_g1_i2,c20737_g1_i2,c20737_g1,2,navi_HOG5770,80.10,598,113,5,610,1204,1342,748,4e-123,440
c20737_g1_i3,c20737_g1_i3,c20737_g1,3,navi_HOG5770,80.10,598,113,5,610,1204,1342,748,4e-123,440
c20742_g1_i2,c20742_g1_i2,c20742_g1,2,navi_HOG6735,72.49,1414,373,15,1254,2659,1406,1,1e-123,442
c20742_g1_i3,c20742_g1_i3,c20742_g1,3,navi_HOG6735,71.02,452,127,4,2244,2693,450,1,2e-22,106
c20742_g1_i5,c20742_g1_i5,c20742_g1,5,navi_HOG6735,72.49,1414,373,15,735,2140,1406,1,1e-123,442
c20747_g1_i4,c20747_g1_i4,c20747_g1,4,navi_HOG3530,84.82,369,56,0,1883,2251,1,369,1e-102,372
c20747_g1_i5,c20747_g1_i5,c20747_g1,5,navi_HOG3530,84.82,369,56,0,901,1269,1,369,9e-103,372
c20753_g2_i1,c20753_g2_i1,c20753_g2,1,navi_HOG5642,79.62,638,85,28,436,1037,1,629,9e-116,416
c20753_g2_i1,c20753_g2_i1,c20753_g2,1,navi_HOG5642,81.37,483,72,5,2916,3383,2523,3002,4e-104,377
c20753_g2_i2,c20753_g2_i2,c20753_g2,2,navi_HOG5642,81.37,483,72,5,2979,3446,2523,3002,4e-104,377
c20753_g2_i2,c20753_g2_i2,c20753_g2,2,navi_HOG5642,78.08,543,79,26,594,1100,91,629,6e-83,307
c20753_g2_i2,c20753_g2_i2,c20753_g2,2,navi_HOG5642,88.79,107,6,3,436,542,1,101,2e-28,126
c20757_g1_i1,c20757_g1_i1,c20757_g1,1,navi_HOG5890,78.55,648,136,2,414,1058,229,876,3e-118,424
c20757_g1_i2,c20757_g1_i2,c20757_g1,2,navi_HOG5890,78.55,648,136,2,688,1332,229,876,3e-118,424
c20764_g3_i1,c20764_g3_i1,c20764_g3,1,navi_HOG4762,77.94,816,178,2,13,827,1967,1153,7e-144,508
c20765_g1_i1,c20765_g1_i1,c20765_g1,1,navi_HOG6090,81.33,900,150,9,211,1092,900,1,0.0,715
c20765_g1_i3,c20765_g1_i3,c20765_g1,3,navi_HOG6090,81.33,900,150,9,211,1092,900,1,0.0,715
c20765_g1_i4,c20765_g1_i4,c20765_g1,4,navi_HOG6090,81.65,921,151,9,1250,2152,921,1,0.0,749
c20765_g1_i5,c20765_g1_i5,c20765_g1,5,navi_HOG6090,81.33,900,150,9,1973,2854,900,1,0.0,715
c20765_g1_i6,c20765_g1_i6,c20765_g1,6,navi_HOG6090,81.21,889,149,9,211,1081,900,12,0.0,701
c20767_g1_i1,c20767_g1_i1,c20767_g1,1,navi_HOG5421,78.32,1748,371,6,295,2037,83,1827,0.0,1122
c20767_g1_i1,c20767_g1_i1,c20767_g1,1,navi_HOG5421,79.97,1408,280,2,2155,3561,1897,3303,0.0,1037
c20769_g2_i1,c20769_g2_i1,c20769_g2,1,navi_HOG2935,84.08,2267,334,19,1329,3574,2261,1,0.0,2161
c20769_g2_i4,c20769_g2_i4,c20769_g2,4,navi_HOG2935,86.07,1809,244,8,1327,3131,1805,1,0.0,1938
c20769_g2_i5,c20769_g2_i5,c20769_g2,5,navi_HOG2935,86.07,1809,244,8,1327,3131,1805,1,0.0,1938
c20769_g2_i6,c20769_g2_i6,c20769_g2,6,navi_HOG2935,84.99,1812,255,14,1327,3128,1805,1,0.0,1823
c20776_g1_i1,c20776_g1_i1,c20776_g1,1,navi_HOG6440,79.03,763,153,7,1140,1899,542,1300,9e-146,516
c20776_g1_i2,c20776_g1_i2,c20776_g1,2,navi_HOG6440,79.13,762,153,6,2048,2806,542,1300,2e-147,521
c20776_g1_i3,c20776_g1_i3,c20776_g1,3,navi_HOG6440,80.79,479,90,2,1140,1617,542,1019,3e-103,374
c20776_g1_i4,c20776_g1_i4,c20776_g1,4,navi_HOG6440,79.13,762,153,6,1963,2721,542,1300,2e-147,521
c20776_g1_i5,c20776_g1_i5,c20776_g1,5,navi_HOG6440,79.13,762,153,6,1140,1898,542,1300,2e-147,521
c20781_g1_i1,c20781_g1_i1,c20781_g1,1,navi_HOG5553,78.16,1909,387,22,6526,8412,1913,13,0.0,1188
c20781_g1_i2,c20781_g1_i2,c20781_g1,2,navi_HOG5553,78.20,1908,387,21,6713,8598,1913,13,0.0,1192
c20782_g1_i1,c20782_g1_i1,c20782_g1,1,navi_HOG6813,78.77,3128,620,28,148,3254,1,3105,0.0,2058
c20784_g1_i2,c20784_g1_i2,c20784_g1,2,navi_HOG5757,82.83,501,86,0,296,796,501,1,3e-126,449
c20792_g2_i1,c20792_g2_i1,c20792_g2,1,navi_HOG6928,80.43,1737,336,4,305,2039,49,1783,0.0,1321
c20792_g2_i4,c20792_g2_i4,c20792_g2,4,navi_HOG6928,80.25,1985,375,12,305,2274,49,2031,0.0,1478
c20792_g2_i6,c20792_g2_i6,c20792_g2,6,navi_HOG6928,80.86,1985,376,4,1572,3554,49,2031,0.0,1557
c20792_g2_i7,c20792_g2_i7,c20792_g2,7,navi_HOG6928,80.86,1985,376,4,305,2287,49,2031,0.0,1557
c20792_g2_i8,c20792_g2_i8,c20792_g2,8,navi_HOG6928,80.86,1985,376,4,305,2287,49,2031,0.0,1557
c20798_g4_i1,c20798_g4_i1,c20798_g4,1,navi_HOG7081,78.99,1528,296,17,882,2388,420,1943,0.0,1020
c20798_g4_i2,c20798_g4_i2,c20798_g4,2,navi_HOG7081,78.99,1528,296,17,989,2495,420,1943,0.0,1020
c20798_g4_i3,c20798_g4_i3,c20798_g4,3,navi_HOG7081,79.23,1401,271,12,988,2369,420,1819,0.0,957
c20798_g4_i5,c20798_g4_i5,c20798_g4,5,navi_HOG7081,79.23,1401,271,12,988,2369,420,1819,0.0,957
c20800_g1_i1,c20800_g1_i1,c20800_g1,1,navi_HOG6401,76.32,1567,325,34,5098,6646,1539,1,0.0,797
c20805_g1_i1,c20805_g1_i1,c20805_g1,1,navi_HOG5829,76.43,1133,231,26,1537,2644,1122,1,3e-165,580
c20805_g1_i3,c20805_g1_i3,c20805_g1,3,navi_HOG5829,76.50,1132,231,25,1537,2643,1122,1,2e-166,584
c20805_g1_i4,c20805_g1_i4,c20805_g1,4,navi_HOG5829,76.65,1109,223,26,1537,2620,1122,25,3e-165,580
